Timestamp,EEG.Counter,EEG.AF3,EEG.AF4,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,Label
1669540627.014152,204.0,4174.230957,4210.384766,4198.461426,4198.974121,4198.461426,4219.102539,4222.05127,4219.230957,4216.153809,4219.487305,4219.615234,4223.333496,4205.0,4226.922852,4
1669540627.018049,205.0,4174.230957,4207.05127,4197.94873,4199.615234,4198.333496,4221.666504,4221.794922,4222.05127,4212.179688,4216.538574,4219.743652,4216.025879,4198.974121,4226.538574,4
1669540627.021947,206.0,4173.461426,4204.743652,4196.410156,4199.743652,4199.358887,4223.333496,4219.743652,4220.384766,4207.179688,4215.128418,4220.512695,4209.487305,4193.333496,4226.538574,4
1669540627.025845,207.0,4170.384766,4204.615234,4194.743652,4199.102539,4200.641113,4222.94873,4218.589844,4216.922852,4204.615234,4215.384766,4220.769043,4205.256348,4190.897461,4225.641113,4
1669540627.029742,208.0,4167.05127,4205.769043,4193.974121,4198.717773,4202.307617,4221.538574,4220.256348,4216.153809,4207.05127,4217.94873,4220.641113,4204.615234,4192.307617,4224.102539,4
1669540627.03364,209.0,4166.410156,4206.282227,4194.743652,4200.128418,4203.974121,4221.282227,4224.358887,4219.743652,4213.461426,4222.563965,4221.153809,4208.205078,4196.410156,4223.974121,4
1669540627.037537,210.0,4169.615234,4205.512695,4196.666504,4202.94873,4204.615234,4223.205078,4227.563965,4225.641113,4220.256348,4228.589844,4223.205078,4214.102539,4200.256348,4226.538574,4
1669540627.041435,211.0,4174.102539,4204.487305,4198.717773,4205.0,4203.333496,4226.410156,4227.179688,4229.487305,4223.974121,4233.205078,4226.282227,4219.230957,4202.692383,4231.282227,4
1669540627.045333,212.0,4176.922852,4205.512695,4199.871582,4204.487305,4200.384766,4228.846191,4222.820313,4228.589844,4223.589844,4233.846191,4228.077148,4221.153809,4203.846191,4235.128418,4
1669540627.04923,213.0,4175.769043,4208.589844,4199.615234,4202.179688,4197.436035,4228.846191,4217.692383,4223.589844,4220.128418,4230.641113,4226.922852,4220.256348,4205.128418,4235.897461,4
1669540627.053128,214.0,4171.794922,4212.179688,4197.692383,4200.641113,4197.05127,4227.05127,4215.256348,4218.077148,4215.641113,4226.794922,4223.589844,4219.871582,4207.05127,4233.461426,4
1669540627.057025,215.0,4167.692383,4213.589844,4195.0,4202.05127,4200.128418,4224.743652,4216.666504,4215.641113,4212.179688,4225.512695,4221.282227,4222.436035,4209.230957,4230.128418,4
1669540627.060923,216.0,4165.897461,4212.307617,4192.563965,4205.384766,4204.487305,4222.563965,4219.871582,4217.307617,4212.05127,4227.307617,4222.05127,4226.666504,4211.153809,4228.461426,4
1669540627.064821,217.0,4166.794922,4210.0,4191.282227,4207.563965,4206.410156,4220.256348,4221.922852,4220.641113,4215.384766,4229.230957,4224.615234,4228.461426,4212.563965,4228.461426,4
1669540627.068718,218.0,4168.589844,4208.589844,4191.153809,4206.922852,4204.358887,4217.692383,4221.153809,4224.230957,4220.641113,4227.820313,4225.641113,4225.0,4213.333496,4228.461426,4
1669540627.072616,219.0,4169.358887,4209.487305,4192.05127,4204.615234,4200.256348,4216.153809,4218.717773,4227.692383,4224.871582,4222.94873,4223.077148,4218.205078,4213.974121,4226.282227,4
1669540627.076513,220.0,4168.717773,4212.05127,4194.102539,4203.846191,4197.820313,4217.307617,4217.820313,4231.666504,4225.641113,4217.563965,4218.589844,4212.94873,4214.230957,4222.436035,4
1669540627.080411,221.0,4168.461426,4214.230957,4197.179688,4206.410156,4198.974121,4220.769043,4220.512695,4235.256348,4221.922852,4215.897461,4215.641113,4212.692383,4214.230957,4219.230957,4
1669540627.084309,222.0,4169.487305,4213.461426,4200.256348,4211.153809,4202.307617,4223.974121,4225.256348,4236.538574,4215.128418,4219.230957,4216.794922,4216.922852,4213.974121,4218.461426,4
1669540627.088206,223.0,4171.025879,4209.230957,4200.897461,4214.358887,4204.358887,4224.102539,4228.333496,4235.256348,4208.846191,4225.128418,4220.897461,4221.794922,4213.717773,4219.743652,4
1669540627.092104,224.0,4170.512695,4203.333496,4198.077148,4212.436035,4203.589844,4220.769043,4227.563965,4232.820313,4206.922852,4229.102539,4223.717773,4223.717773,4212.820313,4220.641113,4
1669540627.096001,225.0,4166.410156,4198.461426,4192.94873,4205.897461,4201.025879,4216.282227,4223.846191,4231.666504,4210.128418,4228.846191,4222.179688,4221.410156,4211.153809,4219.102539,4
1669540627.099899,226.0,4160.769043,4196.922852,4188.589844,4198.846191,4198.974121,4213.846191,4219.871582,4232.436035,4216.025879,4225.384766,4216.666504,4216.153809,4208.846191,4215.897461,4
1669540627.103797,227.0,4157.94873,4198.974121,4187.692383,4195.641113,4198.205078,4214.615234,4217.436035,4233.717773,4220.641113,4221.666504,4211.538574,4211.410156,4207.179688,4214.615234,4
1669540627.107694,228.0,4160.769043,4203.589844,4191.025879,4197.436035,4198.333496,4217.307617,4216.794922,4232.436035,4221.410156,4219.487305,4211.153809,4209.615234,4207.307617,4217.563965,4
1669540627.111592,229.0,4167.94873,4209.487305,4196.153809,4201.794922,4198.589844,4219.230957,4217.05127,4226.666504,4218.333496,4218.461426,4215.897461,4211.538574,4209.615234,4223.589844,4
1669540627.115489,230.0,4174.615234,4215.384766,4200.0,4205.128418,4199.102539,4219.358887,4217.436035,4218.333496,4212.94873,4218.333496,4222.436035,4215.384766,4213.205078,4228.333496,4
1669540627.119387,231.0,4176.922852,4220.128418,4200.897461,4205.769043,4200.384766,4218.205078,4217.436035,4212.05127,4208.205078,4219.102539,4226.153809,4219.230957,4216.282227,4228.589844,4
1669540627.123284,232.0,4174.487305,4222.307617,4199.871582,4204.487305,4202.05127,4217.563965,4216.794922,4211.025879,4206.410156,4221.538574,4225.512695,4221.794922,4217.563965,4225.256348,4
1669540627.127182,233.0,4170.641113,4221.410156,4198.846191,4203.205078,4203.589844,4218.461426,4216.025879,4214.615234,4207.692383,4225.128418,4222.436035,4223.077148,4216.538574,4221.922852,4
1669540627.13108,234.0,4169.230957,4218.461426,4199.102539,4202.820313,4204.487305,4219.871582,4215.256348,4219.358887,4210.641113,4227.94873,4220.0,4223.846191,4214.230957,4221.922852,4
1669540627.134977,235.0,4172.179688,4215.256348,4200.769043,4203.333496,4204.102539,4220.256348,4214.743652,4221.794922,4213.077148,4228.077148,4219.487305,4225.0,4212.05127,4225.256348,4
1669540627.138875,236.0,4177.563965,4213.333496,4202.820313,4204.358887,4202.307617,4219.487305,4214.230957,4220.897461,4214.102539,4225.512695,4220.897461,4227.05127,4211.410156,4228.974121,4
1669540627.142772,237.0,4182.179688,4212.820313,4204.615234,4206.410156,4200.512695,4218.846191,4213.846191,4218.333496,4213.589844,4221.538574,4222.820313,4229.615234,4212.05127,4230.128418,4
